nodes,0_time_exhaustive,0_iter_exhaustive,0_num_elementos_exhaustive,0_time_exhaustive_faster,0_iter_exhaustive_faster,0_num_elementos_exhaustive_faster,0_time_gridy,0_iter_gridy,0_num_elementos_gridy,0.125_time_exhaustive,0.125_iter_exhaustive,0.125_num_elementos_exhaustive,0.125_time_exhaustive_faster,0.125_iter_exhaustive_faster,0.125_num_elementos_exhaustive_faster,0.125_time_gridy,0.125_iter_gridy,0.125_num_elementos_gridy,0.25_time_exhaustive,0.25_iter_exhaustive,0.25_num_elementos_exhaustive,0.25_time_exhaustive_faster,0.25_iter_exhaustive_faster,0.25_num_elementos_exhaustive_faster,0.25_time_gridy,0.25_iter_gridy,0.25_num_elementos_gridy,0.5_time_exhaustive,0.5_iter_exhaustive,0.5_num_elementos_exhaustive,0.5_time_exhaustive_faster,0.5_iter_exhaustive_faster,0.5_num_elementos_exhaustive_faster,0.5_time_gridy,0.5_iter_gridy,0.5_num_elementos_gridy,0.75_time_exhaustive,0.75_iter_exhaustive,0.75_num_elementos_exhaustive,0.75_time_exhaustive_faster,0.75_iter_exhaustive_faster,0.75_num_elementos_exhaustive_faster,0.75_time_gridy,0.75_iter_gridy,0.75_num_elementos_gridy,1_time_exhaustive,1_iter_exhaustive,1_num_elementos_exhaustive,1_time_exhaustive_faster,1_iter_exhaustive_faster,1_num_elementos_exhaustive_faster,1_time_gridy,1_iter_gridy,1_num_elementos_gridy
4,4.470000203582458e-05,24,4,1.4799999917158857e-05,6,4,0.00010509999992791563,10,4,2.6300000172341242e-05,22,3,1.4199998986441642e-05,8,3,1.7000002117129043e-05,10,3,2.1500000002561137e-05,20,3,1.4500001270789653e-05,13,3,1.6400001186411828e-05,9,3,2.1200001356191933e-05,12,2,1.7899998056236655e-05,10,2,1.68999977177009e-05,8,2,2.0200001017656177e-05,11,2,1.809999957913533e-05,10,2,1.7399997886968777e-05,7,2,2.479999966453761e-05,11,1,2.170000152545981e-05,11,1,1.639999754843302e-05,7,1
5,5.03999981447123e-05,80,5,1.1699998140102252e-05,10,5,2.0399998902576044e-05,15,5,3.730000025825575e-05,64,4,1.8599999748403206e-05,26,4,2.0300001779105514e-05,14,4,3.769999966607429e-05,58,3,2.300000051036477e-05,36,3,1.9999999494757503e-05,13,3,2.979999771923758e-05,31,2,2.6300000172341242e-05,25,2,1.8200000340584666e-05,10,2,3.1200001103570685e-05,27,2,2.719999974942766e-05,23,2,2.0399998902576044e-05,9,2,3.139999898849055e-05,26,1,3.0899998819222674e-05,26,1,1.9099999917671084e-05,9,1
6,9.409999984200113e-05,240,6,1.4999997802078724e-05,15,6,2.6300000172341242e-05,21,6,7.369999730144627e-05,170,4,2.9999999242136255e-05,57,4,2.6199999410891905e-05,19,4,6.779999966965988e-05,150,4,3.309999738121405e-05,71,4,2.5600002118153498e-05,19,4,5.5500000598840415e-05,72,3,3.769999966607429e-05,40,3,2.7400001272326335e-05,13,3,5.439999949885532e-05,60,2,4.940000144415535e-05,52,2,2.800000220304355e-05,11,2,5.4699998145224527e-05,57,1,5.4299998737405986e-05,57,1,2.680000034160912e-05,11,1
7,0.00020589999985531904,672,7,1.720000000204891e-05,21,7,3.050000304938294e-05,28,7,0.0001407999989169184,406,4,6.260000009206124e-05,177,4,2.7900001441594213e-05,22,4,0.00013079999916953966,358,4,6.639999992330559e-05,182,4,3.099999958067201e-05,23,4,9.480000153416768e-05,157,3,6.900000153109431e-05,100,3,3.310000101919286e-05,16,3,8.860000161803328e-05,128,2,8.309999975608662e-05,113,2,3.239999932702631e-05,16,2,9.100000170292333e-05,120,1,9.199999840348028e-05,120,1,3.309999738121405e-05,13,1
8,0.00046939999811002053,1792,8,2.6599998818710446e-05,28,8,3.559999822755344e-05,36,8,0.000298099999781698,976,5,9.299999874201603e-05,299,5,3.559999822755344e-05,30,5,0.00024699999994481914,727,4,0.0001474999990023207,424,4,3.729999662027694e-05,26,4,0.00017560000196681358,340,4,0.00010140000085812062,161,4,4.1300001612398773e-05,22,4,0.00016369999866583385,268,2,0.00015700000221841037,246,2,4.3000000005122274e-05,18,2,0.00015939999866532162,247,1,0.00016870000035851263,247,1,4.059999992023222e-05,15,1
9,0.0011251000032643788,4608,9,2.5600002118153498e-05,36,9,4.229999831295572e-05,45,9,0.0006248999998206273,2282,6,0.00017120000120485201,653,6,4.230000195093453e-05,36,6,0.00046359999760170467,1478,4,0.0003025999976671301,988,4,4.119999721297063e-05,29,4,0.0003251000016462058,716,4,0.0002131000001099892,401,4,4.5900000259280205e-05,24,4,0.0003161999993608333,553,2,0.00030780000088270754,523,2,4.930000068270601e-05,20,2,0.0003008999992744066,502,1,0.0003175000019837171,502,1,4.8800000513438135e-05,17,1
10,0.002640799997607246,11520,10,2.7099998987978324e-05,45,10,4.9799997213995084e-05,55,10,0.0013495999992301222,5136,6,0.00038130000029923394,1530,6,4.7199999244185165e-05,43,6,0.0009358999996038619,3050,5,0.0006098000012570992,2009,5,4.9199999921256676e-05,36,5,0.0006428000015148427,1481,4,0.00046719999954802915,967,4,5.189999865251593e-05,26,4,0.0005791999974462669,1127,3,0.0005471000004035886,1037,3,5.360000068321824e-05,24,3,0.0005393000028561801,1013,1,0.0005894999994779937,1013,1,5.959999907645397e-05,19,1
11,0.006388800000422634,28160,11,5.0999999075429514e-05,55,11,5.2600000344682485e-05,66,11,0.0025625000016589183,9653,6,0.0011610000001383014,3672,6,7.800000093993731e-05,46,6,0.0018442000000504777,6430,5,0.0011176999978488311,3986,5,5.329999839887023e-05,42,5,0.0012872000006609596,3056,4,0.0011228000003029592,2248,4,8.039999738684855e-05,28,4,0.0010879000001295935,2277,3,0.0011219999978493433,2143,3,7.069999992381781e-05,27,3,0.0010361999993619975,2036,1,0.0011354999987815972,2036,1,7.230000119307078e-05,21,1
12,0.014433500000450294,67584,12,5.240000245976262e-05,66,12,5.999999848427251e-05,78,12,0.004800200000318,18571,6,0.002360000002227025,8939,6,8.760000127949752e-05,52,6,0.003983700000389945,13476,6,0.0020652000021073036,7089,6,6.969999958528206e-05,52,6,0.002620999999635387,6180,5,0.0017893000003823545,3853,5,8.53000019560568e-05,36,5,0.0020647999990615062,4580,3,0.0023901000022306107,4391,3,9.330000102636404e-05,29,3,0.002017900002101669,4083,1,0.002122800000506686,4083,1,7.90999984019436e-05,23,1
13,0.03580030000011902,159744,13,6.349999966914766e-05,78,13,7.090000144671649e-05,91,13,0.010071900000184542,38852,7,0.0037468000009539537,14566,7,0.00010250000195810571,61,7,0.007967500001541339,27132,7,0.0043590999994194135,14486,7,9.960000170394778e-05,59,7,0.005060500003310153,12592,5,0.003994299997430062,8863,5,0.00010539999857428484,38,5,0.004101900001842296,9197,3,0.004538100001809653,8938,3,0.00011530000119819306,31,3,0.003998200001660734,8178,1,0.0045312999973248225,8178,1,0.0001111999990826007,25,1
14,0.07793349999701604,372736,14,6.27999979769811e-05,91,14,7.999999797903001e-05,105,14,0.021800400001666276,81982,8,0.00580679999984568,23229,8,0.00010489999840501696,75,8,0.016586599998845486,55168,7,0.010285699998348719,33357,7,0.00010589999874355271,68,7,0.01029470000139554,25195,5,0.008602499998232815,19609,5,0.00010939999992842786,40,5,0.00855299999966519,18430,3,0.009518200000457,18089,3,0.00013129999933880754,34,3,0.00843199999872013,16369,1,0.009676300000137417,16369,1,0.00013069999840809032,27,1
15,0.1915162999976019,860160,15,6.70000008540228e-05,105,15,8.519999755662866e-05,120,15,0.04616839999653166,172892,8,0.016223200000240467,61809,8,0.00011870000162161887,83,8,0.03553260000262526,110182,7,0.02428449999933946,72776,7,0.00012450000212993473,74,7,0.021523299998079892,50453,5,0.019976200001110556,42312,5,0.00013010000111535192,47,5,0.018820499997673323,36897,3,0.02158150000104797,36460,3,0.00023299999884329736,36,3,0.017460099999880185,32752,1,0.018750200000795303,32752,1,0.00015519999942625873,29,1
16,0.40516629999910947,1966080,16,0.0001097999993362464,120,16,0.00010869999823626131,136,16,0.09111510000002454,344734,9,0.03548420000151964,131191,9,0.00014040000314707868,94,9,0.06884050000007846,222076,8,0.03923479999866686,127246,8,0.00013050000052317046,82,8,0.04208160000052885,101285,5,0.04145570000036969,89602,5,0.00018560000171419233,49,5,0.0375845999988087,73832,3,0.03881360000013956,73285,3,0.00015700000221841037,38,3,0.03567020000264165,65519,1,0.03672030000234372,65519,1,0.00016989999858196825,31,1
17,0.8717883000026632,4456448,17,8.70000003487803e-05,136,17,0.0001049999991664663,153,17,0.19214020000072196,687892,9,0.08466029999908642,318672,9,0.0002913999996962957,97,9,0.13529120000021067,453016,9,0.06557539999994333,217451,9,0.00014739999824087135,99,9,0.08915089999936754,203163,5,0.09842950000165729,186795,5,0.00013979999857838266,47,4,0.07694420000188984,147712,3,0.08114130000103614,147036,3,0.0001669000012043398,39,3,0.0693570000003092,131054,1,0.07999840000047698,131054,1,0.0001838000025600195,33,1
18,1.8536458000016864,10027008,18,7.120000009308569e-05,153,18,0.0001038999980664812,171,18,0.3404566999997769,1365172,9,0.18750680000084685,746500,9,0.0001283999990846496,99,9,0.2612492000007478,896312,9,0.15377129999978933,505740,9,0.0001483999985794071,102,9,0.17635020000307122,407335,5,0.17493919999833452,384958,5,0.0001497999983257614,50,4,0.13788250000288826,295468,3,0.14975029999914113,294649,3,0.00016079999841167592,41,3,0.12471619999996619,262125,1,0.13686459999735234,262125,1,0.0001736999984132126,35,1
19,4.125717499999155,22413312,19,7.469999763998203e-05,171,19,0.00010969999857479706,190,19,0.6954594000017096,2745338,10,0.3206086999998661,1305832,10,0.00012939999942318536,109,10,0.5211816000010003,1792774,9,0.34614610000062385,1141912,9,0.00017939999816007912,108,9,0.3321176999997988,815111,5,0.33693140000104904,785223,5,0.0002131000001099892,56,5,0.2810337000009895,590991,3,0.3092815000018163,589884,3,0.0001857999995991122,44,3,0.2765323999992688,524268,1,0.3002576999970188,524268,1,0.0002172999993490521,37,1
20,8.783587300000363,49807360,20,7.439999899361283e-05,190,20,0.00011470000026747584,210,20,1.3234198999998625,5612632,10,0.7465072999984841,3008049,10,0.00015279999934136868,120,10,1.151405299999169,3566190,9,0.865655899997364,2517501,9,0.00018590000036056153,112,9,0.7816028999986884,1627015,5,0.7483763000018371,1588004,5,0.00022090000129537657,58,5,0.6085172000020975,1182054,3,0.6521251000012853,1180744,3,0.0003015000002051238,46,3,0.5701574000013352,1048555,1,0.6046813999964797,1048555,1,0.00023100000180420466,39,1
